p_id	e_id	cell_line	modification	effect	time	comment	stimuli	controls
Estrogen	GSE26459a	MCF-7 estrogen sensitive breast cancer cells	treated with estrogen	activation	4 h	3 replicates each	GSM649484,GSM649485,GSM649486	GSM649487,GSM649488,GSM649489
Estrogen	GSE26459b	MCF-7 estrogen resistant breast cancer cells	treated with estrogen	activation	4 h	3 replicates each	GSM649496,GSM649497,GSM649498	GSM649499,GSM649500,GSM649501
Estrogen	GSE26834Est	MCF-7 breast cancer cells	treated with estradiol	activation	3 h	2-3 replicates each	GSM659805,GSM659806	GSM659807,GSM659808,GSM659809
Estrogen	GSE28006	MCF-7 breast cancer cell line	treated with estradiol	activation	3 h	2 replicates each, contain siControl RNA	GSM692735,GSM692739	GSM692736,GSM692740
Estrogen	GSE28645	LY2 breast cancer cell line	treated with tamoxifen	inhibition	2 h	4 replicates each, contain control siRNA, tamoxifen acts as antagonist in breast cell lines	GSM709770,GSM709773,GSM709774,GSM709776	GSM709764,GSM709766,GSM709768,GSM709777
Estrogen	GSE3013a	endometrial epithelial cells	treated with estradiol	activation	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM64885	GSM65278
Estrogen	GSE3013b	endometrial epithelial cells	treated with estradiol	activation	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65277	GSM65279
Estrogen	GSE3013c	endometrial epithelial cells	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65277	GSM65281
Estrogen	GSE3013d	endometrial epithelial cells	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM64885	GSM65280
Estrogen	GSE3013f	endometrial epithelial cells	treated with estradiol	activation	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65283	GSM65285
Estrogen	GSE3013h	endometrial epithelial cells	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65282	GSM65286
Estrogen	GSE3013i	endometrial epithelial cells	treated with estradiol	activation	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65288	GSM65290
Estrogen	GSE3013j	endometrial epithelial cells	treated with estradiol	activation	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65289	GSM65291
Estrogen	GSE3013k	endometrial epithelial cells	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65289	GSM65293
Estrogen	GSE3013l	endometrial epithelial cells	treated with tamoxifen	unknown	3 h	2 replicates each on different platforms, different treatments, different tumor stages	GSM65288	GSM65292
Estrogen	GSE30931	MCF-7 breast cancer cell line	treated with estrogen	activation	6 h	3 replicates each	GSM766676,GSM766677,GSM766678	GSM766679,GSM766680,GSM766681
Estrogen	GSE35287a	endometrial fibroblasts	treated with E2	activation	6 h	1 replicate each, 4 donors	GSM865133	GSM865134
Estrogen	GSE35287b	endometrial fibroblasts	treated with E2	activation	6 h	1 replicate each, 4 donors	GSM865143	GSM865154
Estrogen	GSE35287c	endometrial fibroblasts	treated with E2	activation	6 h	1 replicate each, 4 donors	GSM865145	GSM865146
Estrogen	GSE35287d	endometrial fibroblasts	treated with E2	activation	6 h	1 replicate each, 4 donors	GSM865173	GSM865204
Estrogen	GSE3834a	MCF-7 cells	treated with 10 nM estradiol	activation	1 h	2 replicates each, different cell lines, part of time series	GSM87446,GSM87447	GSM87448
Estrogen	GSE3834b	MCF-7 cells	treated with 10 nM estradiol	activation	2 h	2 replicates each, different cell lines, part of time series	GSM87446,GSM87447	GSM87449,GSM87450
Estrogen	GSE3834c	MCF-7 cells	treated with 10 nM estradiol	activation	4 h	2 replicates each, different cell lines, part of time series	GSM87446,GSM87447	GSM87451,GSM87452
Estrogen	GSE3834d	T47-D cells	treated with 10 nM estradiol	activation	1 h	2 replicates each, different cell lines, part of time series	GSM87495,GSM87496	GSM87497,GSM87498
Estrogen	GSE3834e	T47-D cells	treated with 10 nM estradiol	activation	2 h	2 replicates each, different cell lines, part of time series	GSM87495,GSM87496	GSM87499,GSM87500
Estrogen	GSE3834f	T47-D cells	treated with 10 nM estradiol	activation	4 h	2 replicates each, different cell lines, part of time series	GSM87495,GSM87496	GSM87501,GSM87502
Estrogen	GSE3834g	BT-474 cells	treated with 10 nM estradiol	activation	2 h	2 replicates each, different cell lines, part of time series	GSM87509,GSM87510	GSM87511,GSM87512
Estrogen	GSE3834h	BT-474 cells	treated with 10 nM estradiol	activation	4 h	2 replicates each, different cell lines, part of time series	GSM87509,GSM87510	GSM87513,GSM87514
Estrogen	GSE5258Est	MCF-7 cells	treated with 10 nM estradiol	activation	6 h	1-2 replicates each	GSM119000,GSM118794	GSM118730
Estrogen	GSE9936a	MCF-7 cells	treated with 6 nM estradiol	activation	4 h	3 replicates each, different treatments, contain control vectors	GSM251354,GSM251355,GSM251356	GSM251357,GSM251358,GSM251359
Estrogen	GSE9936b	MCF-7 cells	treated with 6 nM genistein	activation	4 h	3 replicates each, different treatments, contain control vector	GSM251354,GSM251355,GSM251356	GSM251360,GSM251361,GSM251362
Estrogen	GSE9936c	MCF-7 cells	treated with 300 nM genistein	activation	4 h	3 replicates each, different treatments, contain control vector	GSM251354,GSM251355,GSM251356	GSM251363,GSM251364
H2O2	GSE21800a	4 lymphoid cell lines pooled	treated with 9 µM H2O2	activation	4 h	1 replicate each, time respective control	GSM542925	GSM542926
H2O2	GSE21800b	4 lymphoid cell lines pooled	treated with 90 µM H2O2	activation	4 h	1 replicate each, time respective control	GSM542925	GSM542927
H2O2	GSE21800c	4 lymphoid cell lines pooled	treated with 900 µM H2O2	activation	4 h	1 replicate each, time respective control	GSM542925	GSM542928
H2O2	GSE22463a	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558027	GSM558035
H2O2	GSE22463b	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558028	GSM558036
H2O2	GSE22463c	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558029	GSM558037
H2O2	GSE22463d	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558030	GSM558038
H2O2	GSE22463e	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558031	GSM558039
H2O2	GSE22463f	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558032	GSM558040
H2O2	GSE22463g	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558033	GSM558041
H2O2	GSE22463h	PBMCs from >50 year old female	treated with H2O2	activation	3 h	1 replicate each, time series, 8 older individuals	GSM558034	GSM558042
H2O2	GSE22463i	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558027	GSM558043
H2O2	GSE22463j	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558028	GSM558044
H2O2	GSE22463k	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558029	GSM558045
H2O2	GSE22463l	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558030	GSM558046
H2O2	GSE22463m	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558031	GSM558047
H2O2	GSE22463n	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558032	GSM558048
H2O2	GSE22463o	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558033	GSM558049
H2O2	GSE22463p	PBMCs from >50 year old female	treated with H2O2	activation	6 h	1 replicate each, time series, 8 older individuals	GSM558034	GSM558050
H2O2	GSE5339a	ATCC 16Lu ( human lung fibroblasts)	H2O2 treatment	activation	1 h	time series 1, 4, 12, 24 h	GSM120303,GSM120304,GSM120305	GSM120318,GSM120319,GSM120320
H2O2	GSE5339b	ATCC 16Lu ( human lung fibroblasts)	H2O2 treatment	activation	4 h	time series 1, 4, 12, 24 h	GSM120309,GSM120310,GSM120311	GSM120324,GSM120325,GSM120326
Hippo	GSE120512	Human Ewing Sarcoma cell line SK-N-MC	YAP siRNA	inhibition	72 h	4 replicates	GSM3402289,GSM3402290,GSM3402291,GSM3402292	GSM3402293,GSM3402294,GSM3402295,GSM3402296
Hippo	GSE121732	Human heptocarcioma cell line HepG2	YAP siRNA	inhibition	24 h	3 replicates control, 2 siRNAs 3 replicates each combined (supposed to have good overlap according to paper, not shown!!!)	GSM3444835,GSM3444836,GSM3444837	GSM3444838,GSM3444839,GSM3444840,GSM3444841,GSM3444842,GSM3444843
Hippo	GSE35004	Hep3B	YAP siRNA	inhibition	24h	3 replicates	GSM860172,GSM860173,GSM860174	GSM860178,GSM860179,GSM860180
Hippo	GSE49384a	HaCaT	YAP+TAZ siRNA	inhibition	96h	2 replicates, control is LATS2/NF2 kd, two cell lines	GSM1198655,GSM1198656	GSM1198657,GSM1198658
Hippo	GSE49384b	HepG2	YAP+TAZ siRNA	inhibition	96h	2 replicates, control is LATS2/NF2 kd, two cell lines	GSM1198661,GSM1198662	GSM1198663,GSM1198664
Hippo	GSE49406	HEK293	YAP shRNA	inhibition	unspecified	3 replicates	GSM1198995,GSM1198996,GSM1198997	GSM1199001,GSM1199002,GSM1199003
Hippo	GSE56445	Breast cancer cell MDA-MB-231-LM2-4	YAP+TAZ siRNA	inhibition	48h	3 replicates, in 24h-TGFß stimulation background	GSM1361645,GSM1361646,GSM1361647	GSM1361648,GSM1361649,GSM1361650
Hippo	GSE57257	Ovarian cancer cell line OVCAR5	YAP siRNA	inhibition	56 h	3 replicates control, 2 siRNAs 3 replicates each combined	GSM1378039,GSM1378040,GSM1378041	GSM1378029,GSM1378030,GSM1378031,GSM1378027,GSM1378028,GSM1378033
Hippo	GSE59229	MCF10A	YAP+TAZ siRNA	inhibition	48 h	4 replicates control, 2 siRNAs 4 replicates each combined	GSM1431010,GSM1431011,GSM1431012,GSM1431013	GSM1431014,GSM1431015,GSM1431016,GSM1431017,GSM1431018,GSM1431019,GSM1431020,GSM1431021
Hippo	GSE60579a	mammary epithelial cell line MCF-10A	Tamoxifen-inducible YAP construct	activation	2 h	2 replicates, second time point as seperate experiment	GSM1482830,GSM1482836	GSM1482833,GSM1482839
Hippo	GSE60579b	mammary epithelial cell line MCF-10A	Tamoxifen-inducible YAP construct	activation	6 h	2 replicates, second time point as seperate experiment	GSM1482831,GSM1482837	GSM1482834,GSM1482840
Hippo	GSE61767	HuCCT1 cholangiocarcinoma cell line	YAP shRNA	inhibition	72 h	four replicates	GSM1513635,GSM1513636,GSM1513637,GSM1513638	GSM1513639,GSM1513640,GSM1513641,GSM1513642
Hippo	GSE61989	Human umbilical vein endothelial cell	YAP siRNA	inhibition	30 h	4 replicates control, 2 siRNAs 4 replicates each combined (showed strong overlap in original paper)	GSM1517967,GSM1517968,GSM1517969,GSM1517970	GSM1517971,GSM1517972,GSM1517973,GSM1517974,GSM1517975,GSM1517976,GSM1517977,GSM1517978
Hippo	GSE66082	MDA-MB-231 cells	YAP siRNA	inhibition	48 h	4 replicates control, 2 siRNAs 4 replicates each combined	GSM1614041,GSM1614042,GSM1614043,GSM1614044	GSM1614045,GSM1614046,GSM1614047,GSM1614048,GSM1614049,GSM1614050,GSM1614051,GSM1614052
Hippo	GSE66949	Oral squamous cell carcinoma SCC2	YAP+TAZ siRNA	inhibition	48 h	3 replicates	GSM1634772,GSM1634773,GSM1634774	GSM1634781,GSM1634782,GSM1634783
Hippo	GSE68599a	Melanoma cell line SKMEL28 made PLX4032 resistant	YAp/TAZ si RNA	inhibition	72 h	2 replicates, second cell line as seperate experiment	GSM1898757,GSM1898758	GSM1898759,GSM1898760
Hippo	GSE68599b	Melanoma cell line WM3248 made PLX4032 resistant	YAp/TAZ si RNA	inhibition	72 h	2 replicates, second cell line as seperate experiment	GSM1898761,GSM1898762	GSM1898763,GSM1898764
Hippo	GSE93400	Small cell lung cancer cell line SBC5	YAP siRNA	inhibition	48 h	no replicates, this cell line has no TAZ and therefore YAP kd will show better Hippo-like response than SBC3	GSM2452693	GSM2452694
Hypoxia	GSE1056	Hep3B cells	treated with 1% oxygen hypoxia	activation	2 h	2 replicates each	GSM17082,GSM17083	GSM17088,GSM17089
Hypoxia	GSE106959	medulloblastoma cell line D283-Med	treated with 1% oxygen	activation	6 h	3 replicates	GSM2858315,GSM2858319,GSM2858323	GSM2858316,GSM2858320,GSM2858324
Hypoxia	GSE109233a	human adult pericyte cell cultures. Sub-vetricular zone (SVZ) pericytes from a temporal lobe epilepsy	treated with 0.5-0.7% oxygen	activation	2 h	4 replicates	GSM2935663,GSM2935664,GSM2935665,GSM2935666	GSM2935655,GSM2935656,GSM2935657,GSM2935658
Hypoxia	GSE109233b	human adult pericyte cell cultures. Sub-vetricular zone (SVZ) pericytes from a temporal lobe epilepsy	treated with 0.5-0.7% oxygen	activation	6 h	3 replicates	GSM2935677,GSM2935678,GSM2935679	GSM2935671,GSM2935672,GSM2935673
Hypoxia	GSE17188a	MDA-MB-231 LM2 cells	treated with 1% oxygen hypoxia	activation	6 h	2 replicates each, different cell lines	GSM429891,GSM429892	GSM429893,GSM429894
Hypoxia	GSE17188b	MDA-MB-231 SCP2 cells	treated with 1% oxygen hypoxia	activation	6 h	2 replicates each, different cell lines	GSM429897,GSM429898	GSM429899,GSM429900
Hypoxia	GSE19123	MCF-7 cells	treated with 1% oxygen hypoxia	activation	4 h	5 replicates each	GSM474352,GSM474353,GSM474354,GSM474355,GSM474356	GSM474367,GSM474368,GSM474369,GSM474370,GSM474371
Hypoxia	GSE22469	Rhabdomyosarcoma cells (SJRH30)	treated with 1% oxygen	activation	6 h	2 replicates	GSM558109,GSM558110	GSM558111,GSM558112
Hypoxia	GSE27813	MCF-7 cells	treated with 1% oxygen hypoxia	activation	6 h	2 replicates each, contain control shRNA	GSM686788,GSM686789	GSM686790,GSM686791
Hypoxia	GSE28603a	SGBS adipocytes	treated with 1% oxygen hypoxia	activation	3 h	3 replicates each, part of time series	GSM707909,GSM707913,GSM707917	GSM707910,GSM707914,GSM707918
Hypoxia	GSE28603b	SGBS adipocytes	treated with 1% oxygen hypoxia	activation	6 h	3 replicates each, part of time series	GSM707909,GSM707913,GSM707917	GSM707911,GSM707915,GSM707919
Hypoxia	GSE30019a	MCF7	treated with 0.5% oxygen	activation	1 h	three replicates, time series	GSM742971,GSM742972,GSM742973	GSM742974,GSM742975,GSM742976
Hypoxia	GSE30019b	MCF7	treated with 0.5% oxygen	activation	4 h	three replicates, time series	GSM742971,GSM742972,GSM742973	GSM742977,GSM742978,GSM742979
Hypoxia	GSE30499	U2OS	treated with 0.1% oxygen	activation	3 h	no replicates	GSM756510	GSM756514
Hypoxia	GSE33521	HeLa cells	treated with 1% oxygen hypoxia	activation	6 h	2 replicates each	GSM829385,GSM829386	GSM829387,GSM829388
Hypoxia	GSE35819a	human embryonic stem cell HS401	treated with 4% oxygen	activation	2 h	no replicates, three cell lines	GSM875714	GSM875713
Hypoxia	GSE35819b	human embryonic stem cell HS360	treated with 4% oxygen	activation	2 h	no replicates, three cell lines	GSM875720	GSM875719
Hypoxia	GSE35819c	human embryonic stem cell H9	treated with 4% oxygen	activation	2 h	no replicates, three cell lines	GSM875726	GSM875725
Hypoxia	GSE35932a	HUVEC	treated with 1% oxygen	activation	1 h	no replicates, time series	GSM877586	GSM921645
Hypoxia	GSE35932b	HUVEC	treated with 1% oxygen	activation	4 h	no replicates, time series	GSM877586	GSM921647
Hypoxia	GSE41491a	DU145	treated with 0% oxygen	activation	1 h	no replicate, several time points, several cell lines	GSM1018170	GSM1018171
Hypoxia	GSE41491b	DU145	treated with 0% oxygen	activation	4 h	no replicate, several time points, several cell lines	GSM1018170	GSM1018173
Hypoxia	GSE41491c	HT29	treated with 0% oxygen	activation	1 h	no replicate, several time points, several cell lines	GSM1018178	GSM1018179
Hypoxia	GSE41491d	HT29	treated with 0% oxygen	activation	4 h	no replicate, several time points, several cell lines	GSM1018178	GSM1018181
Hypoxia	GSE41491e	MCF7	treated with 0% oxygen	activation	1 h	no replicate, several time points, several cell lines	GSM1018186	GSM1018187
Hypoxia	GSE41491f	MCF7	treated with 0% oxygen	activation	4 h	no replicate, several time points, several cell lines	GSM1018186	GSM1018189
Hypoxia	GSE46263a	human umbilical vein endothelial cells (HUVEC)	treated with CoCl2 (chemically induced hypoxia)	activation	1 h	3 replicates	GSM1127793,GSM1127817,GSM1127839	GSM1127796,GSM1127818,GSM1127840
Hypoxia	GSE46263b	human umbilical vein endothelial cells (HUVEC)	treated with CoCl2 (chemically induced hypoxia)	activation	3 h	3 replicates	GSM1127793,GSM1127817,GSM1127839	GSM1127797,GSM1127819,GSM1127841
Hypoxia	GSE5258	MCF7 cells	treated with 0.1mM cobalt chloride	activation	6 h	3 replicates each, cobald cloride induces HIF1	GSM118799,GSM118848,GSM118922	GSM118850,GSM118855,GSM118928
Hypoxia	GSE59729a	hepatocarcinoma cell line Huh-7	treated with 1% oxygen	activation	3 h	2-3 replicates, second time point included	GSM1444515,GSM1444516	GSM1444517,GSM1444518,GSM1444519
Hypoxia	GSE59729b	hepatocarcinoma cell line Huh-7	treated with 1% oxygen	activation	6 h	2 replicates, second time point included	GSM1444515,GSM1444516	GSM1444523,GSM1444524
Hypoxia	GSE60432	Human placental trophoblasts	treated with 0% oxygen	activation	6 h	3 replicates (from 3 donors probably?)	GSM1479785,GSM1479801,GSM1479812	GSM1479786,GSM1479802,GSM1479813
Hypoxia	GSE60729	human monocyte-derived dendritic cells	treated with 1% oxygen	activation	6 h	3 replicates	GSM1486351,GSM1486352,GSM1486353	GSM1486363,GSM1486364,GSM1486365
Hypoxia	GSE65271	human placenta cell line hHTR8/SVneo	treated with 1% oxygen	activation	6 h	3-4 replicates	GSM1591517,GSM1591518,GSM1591519,GSM1591520	GSM1591514,GSM1591515,GSM1591516
Hypoxia	GSE71967	Human Umbilical Vein Endothelial Cells (HUVEC)	treated with 2% oxygen	activation	4 h	no replicate	GSM1848696	GSM1848683
Hypoxia	GSE79069	human cervical adenocarcinoma HeLa cells	treated with 1% oxygen	activation	6 h	3 replicates	GSM2084870,GSM2084871,GSM2084872	GSM2084873,GSM2084874,GSM2084875
Hypoxia	GSE89891	human breast cancer cell line MCF7	treated with 1% oxygen	activation	2 h	3 replicates	GSM2392640,GSM2392641,GSM2392643	GSM2392649,GSM2392650,GSM2392651
IL-1	GSE22325	HUVECs	treated with 100U IL-1b	activation	4 h	1 replicate each	GSM555847	GSM555851
IL-1	GSE32390a	skin fibroblasts	treated with 20 ng/ml IL-1b	activation	4 h	1 replicate each, 3 donors	GSM801681	GSM801669
IL-1	GSE32390b	skin fibroblasts	treated with 20 ng/ml IL-1b	activation	4 h	1 replicate each, 3 donors	GSM801680	GSM801678
IL-1	GSE32390c	skin fibroblasts	treated with 20 ng/ml IL-1b	activation	4 h	1 replicate each, 3 donors	GSM801677	GSM801670
IL-1	GSE8515IL1	Human monocyte-derived macrophages	with IL-1 (15 ng/ml)	activation	4 h	5 replicates each	GSM211500,GSM211501,GSM211502,GSM211503,GSM211504	GSM211505,GSM211506,GSM211507,GSM211508,GSM211509
IL-1	GSE9120a	Cultured epidermal keratinocytes	treated with 25 ng/ml human recombinant IL-1	activation	1 h		GSM230880	GSM230879
IL-1	GSE9120b	Cultured epidermal keratinocytes	treated with 25 ng/ml human recombinant IL-1	activation	4 h		GSM230881	GSM230882
IL-1	GSE973a	HUVEC	treated with 100 U/ml human IL-1	activation	0.5 h	time series 3 time points	GSM15389	GSM15390
IL-1	GSE973b	HUVEC	treated with 100 U/ml human IL-1	activation	1 h	time series 3 time points	GSM15389	GSM15391
IL-1	GSE973c	HUVEC	treated with 100 U/ml human IL-1	activation	2.5 h	time series 3 time points	GSM15389	GSM15392
Insulin	GSE21727	trabecular bone cells	treated with IGF-1	activation	2 h	3 replicates each	GSM542107,GSM542108,GSM542109	GSM542098,GSM542099,GSM542100
Insulin	GSE21989a	HUVECs	treated with Insulin	activation	0.66 h	1 replicate each, part of time series	GSM546910	GSM546915
Insulin	GSE21989b	HUVECs	treated with Insulin	activation	1.66 h	1 replicate each, part of time series	GSM546911	GSM546916
Insulin	GSE21989c	HUVECs	treated with Insulin	activation	3.33 h	1 replicate each, part of time series	GSM546912	GSM546917
Insulin	GSE21989d	HUVECs	treated with Insulin	activation	5.66 h	1 replicate each, part of time series	GSM546913	GSM546918
Insulin	GSE24422a	hMSC adipocytes, mixed fraction	treated with 20 nM Insulin	activation	5 h	2 replicates each, different fractions of cells	GSM601621,GSM601622	GSM601623,GSM601624
Insulin	GSE24422b	hMSC adipocytes, adipocyte fraction	treated with 20 nM Insulin	activation	5 h	2 replicates each, different fractions of cells	GSM601629,GSM601630	GSM601631,GSM601632
Insulin	GSE24422c	hMSC adipocytes, stromal fraction	treated with 20 nM Insulin	activation	5 h	2 replicates each, different fractions of cells	GSM601637,GSM601638	GSM601639,GSM601640
Insulin	GSE26834	MCF-7 breast cancer cells	treated with IGF-1	activation	3 h	2 replicates for control, 3 replicates for treatment	GSM659805,GSM659806	GSM659810,GSM659811,GSM659812
Insulin	GSE30524	RPMI 8266 cells	treated with 0.375µM picropodophyllin, IGF1R inhibitor	inhibition	6 h	1 replicate each	GSM756954	GSM756956
Insulin	GSE9105a	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230429	GSM230430
Insulin	GSE9105b	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230429	GSM230431
Insulin	GSE9105c	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230432	GSM230433
Insulin	GSE9105d	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230432	GSM230434
Insulin	GSE9105e	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230435	GSM230436
Insulin	GSE9105f	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230435	GSM230437
Insulin	GSE9105g	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230438	GSM230440
Insulin	GSE9105h	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230438	GSM230439
Insulin	GSE9105i	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230441	GSM230442
Insulin	GSE9105j	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230441	GSM230443
Insulin	GSE9105k	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230444	GSM230445
Insulin	GSE9105l	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230444	GSM230446
Insulin	GSE9105m	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	4 h	1 replicate each, part of time series, 12 donors	GSM230447	GSM230449
Insulin	GSE9105n	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230447	GSM230448
Insulin	GSE9105o	primary muscle cells	treated with euglycemic hyperinsulinemic clamp	activation	0.5 h	1 replicate each, part of time series, 12 donors	GSM230450	GSM230451
